EntrezID	Symbol	GeneLength
22850	ADNP2	5803
84890	ADO	3757
134	ADORA1	5439
136	ADORA2B	2703
137	ADORA2BP1	401
140	ADORA3	5120
83440	ADPGK	10558
141	ADPRH	5243
113622	ADPRHL1	2956
54936	ADPRHL2	2224
148	ADRA1A	12756
147	ADRA1B	2283
146	ADRA1D	3592
150	ADRA2A	3871
151	ADRA2B	3661
152	ADRA2C	2607
153	ADRB1	8038
154	ADRB2	3447
155	ADRB3	3240
156	ADRBK1	7909
11047	ADRM1	6599
158	ADSL	5744
122622	ADSSL1	6352
165	AEBP1	5734
121536	AEBP2	7090
64782	AEN	9613
166	AES	5876
171560	AF357530	170
60312	AFAP1	11351
134265	AFAP1L1	5803
84632	AFAP1L2	7488
4299	AFF1	17149
2334	AFF2	14246
3899	AFF3	14565
27125	AFF4	18255
10939	AFG3L2	7769
347028	AFG3L2P1	746
173	AFM	2705
174	AFP	3585
54812	AFTPH	8834
175	AGA	3154
116987	AGAP1	8170
116986	AGAP2	5608
116988	AGAP3	13954
119016	AGAP4	10663
414189	AGAP6	3792
653268	AGAP7	3062
123624	AGBL1	4473
79841	AGBL2	5356
340351	AGBL3	9732
84871	AGBL4	7544
60509	AGBL5	7723
3267	AGFG1	11519
55109	AGGF1	5598
100132380	AGGF1P1	669
55750	AGK	6071
178	AGL	9195
79814	AGMAT	2200
10554	AGPAT1	4170
10555	AGPAT2	1988
56894	AGPAT3	12850
56895	AGPAT4	16559
55326	AGPAT5	7878
137964	AGPAT6	9708
84803	AGPAT9	4143
123688	AGPHD1	2740
8540	AGPS	9055
10551	AGR2	4846
155465	AGR3	1565
375790	AGRN	10670
181	AGRP	1015
183	AGT	5353
23287	AGTPBP1	7901
185	AGTR1	3516
186	AGTR2	3339
57085	AGTRAP	2228
189	AGXT	4666
64902	AGXT2	4007
64850	AGXT2L1	3043
85007	AGXT2L2	16979
25909	AHCTF1	10400
285116	AHCTF1P1	3248
191	AHCY	4365
10768	AHCYL1	11239
23382	AHCYL2	8966
27245	AHDC1	8429
54806	AHI1	17798
79026	AHNAK	19618
113146	AHNAK2	18353
196	AHR	6835
10598	AHSA1	3604
130872	AHSA2	10709
197	AHSG	4479
51327	AHSP	568
57379	AICDA	3296
64853	AIDA	10506
199	AIF1	1610
83543	AIF1L	6475
9131	AIFM1	4366
51390	AIG1	12306
202	AIM1	9945
55057	AIM1L	5909
9447	AIM2	5513
9255	AIMP1	8361
7965	AIMP2	3920
9049	AIP	3051
23746	AIPL1	4741
326	AIRE	5158
55966	AJAP1	3910
204	AK2	15810
266920	AK2P1	1646
50808	AK3	7840
205	AK4	7689
26289	AK5	7636
122481	AK7	5260
8165	AKAP1	8934
11216	AKAP10	5938
11215	AKAP11	11776
9590	AKAP12	12239
11214	AKAP13	30957
10566	AKAP3	3719
8852	AKAP4	3145
9495	AKAP5	6484
9472	AKAP6	17289
9465	AKAP7	4396
10270	AKAP8	6317
26993	AKAP8L	7514
10142	AKAP9	21230
221264	AKD1	11065
79647	AKIRIN1	4417
80709	AKNA	13724
10327	AKR1A1	3385
231	AKR1B1	5045
57016	AKR1B10	2677
441282	AKR1B15	3369
729347	AKR1B1P3	1365
126242	AKR1B1P7	968
1646	AKR1C2	14105
1109	AKR1C4	1472
340811	AKR1CL1	2137
6718	AKR1D1	3801
8574	AKR7A2	4001
22977	AKR7A3	2235
246181	AKR7L	2773
207	AKT1	12736
208	AKT2	17294
10000	AKT3	12754
64400	AKTIP	9233
210	ALAD	5809
211	ALAS1	4507
212	ALAS2	4670
213	ALB	9190
214	ALCAM	7516
126133	ALDH16A1	4926
5832	ALDH18A1	7009
216	ALDH1A1	3608
8854	ALDH1A2	9195
220	ALDH1A3	8655
219	ALDH1B1	3172
10840	ALDH1L1	13138
160428	ALDH1L2	8848
217	ALDH2	2749
218	ALDH3A1	6082
224	ALDH3A2	7839
221	ALDH3B1	7377
222	ALDH3B2	4250
8659	ALDH4A1	4792
7915	ALDH5A1	5610
4329	ALDH6A1	8007
501	ALDH7A1	5592
223	ALDH9A1	3724
226	ALDOA	5514
228	ALDOAP2	2087
229	ALDOB	6891
230	ALDOC	3392
84920	ALG10	3127
144245	ALG10B	11269
79087	ALG12	2741
79868	ALG13	11666
199857	ALG14	3160
200810	ALG1L	1326
644974	ALG1L2	1552
85365	ALG2	5271
10195	ALG3	3526
29880	ALG5	5076
29929	ALG6	6774
79053	ALG8	4593
238	ALK	8067
8846	ALKBH1	6118
121642	ALKBH2	2874
221120	ALKBH3	7645
54784	ALKBH4	2387
54890	ALKBH5	4178
84266	ALKBH7	1460
91801	ALKBH8	4080
55821	ALLC	2544
7840	ALMS1	15896
200420	ALMS1P	4379
239	ALOX12	3175
242	ALOX12B	3636
245	ALOX12P2	5496
246	ALOX15	3960
247	ALOX15B	3432
240	ALOX5	8015
241	ALOX5AP	4054
59344	ALOXE3	3860
248	ALPI	2632
80216	ALPK1	17717
115701	ALPK2	10024
57538	ALPK3	11117
249	ALPL	4423
250	ALPP	2970
251	ALPPL2	2528
57679	ALS2	16758
259173	ALS2CL	10503
151254	ALS2CR11	7516
79800	ALS2CR8	10455
8092	ALX1	1617
257	ALX3	1999
60529	ALX4	5774
258	AMBN	2000
259	AMBP	2767
55626	AMBRA1	9017
262	AMD1	9028
144193	AMDHD1	2636
51005	AMDHD2	4385
265	AMELX	835
266	AMELY	844
267	AMFR	5710
268	AMH	3507
269	AMHR2	4164
120425	AMICA1	10787
57463	AMIGO1	5138
347902	AMIGO2	3956
9949	AMMECR1	7136
83607	AMMECR1L	6750
81693	AMN	6685
196394	AMN1	4188
154796	AMOT	8176
154810	AMOTL1	10072
51421	AMOTL2	7413
271	AMPD2	10043
272	AMPD3	9466
273	AMPH	7027
401138	AMTN	1007
276	AMY1A	3033
277	AMY1B	3080
278	AMY1C	3032
279	AMY2A	2146
281	AMYP1	1382
155185	AMZ1	6464
51321	AMZ2	17609
201283	AMZ2P1	6765
64682	ANAPC1	13818
10393	ANAPC10	3898
729198	ANAPC10P1	806
25847	ANAPC13	2855
119504	ANAPC16	7411
29882	ANAPC2	6896
29945	ANAPC4	11911
51433	ANAPC5	13285
23357	ANGEL1	7242
90806	ANGEL2	8441
284	ANGPT1	7091
285	ANGPT2	7756
51378	ANGPT4	1935
9068	ANGPTL1	4193
23452	ANGPTL2	3900
27329	ANGPTL3	3535
51129	ANGPTL4	2814
253935	ANGPTL5	2376
83854	ANGPTL6	2623
10218	ANGPTL7	2340
286	ANK1	10614
287	ANK2	22306
288	ANK3	31680
150709	ANKAR	14761
728780	ANKDD1B	4796
162282	ANKFN1	6701
51479	ANKFY1	13472
56172	ANKH	15658
404734	ANKHD1-EIF4EBP3	26334
54467	ANKIB1	11003
255239	ANKK1	2598
23141	ANKLE2	10722
51281	ANKMY1	10881
57037	ANKMY2	6474
57763	ANKRA2	3719
27063	ANKRD1	2551
55608	ANKRD10	19521
29123	ANKRD11	20106
23253	ANKRD12	13731
88455	ANKRD13A	9560
124930	ANKRD13B	5956
81573	ANKRD13C	10701
338692	ANKRD13D	8134
26057	ANKRD17	16243
441459	ANKRD18B	699
26287	ANKRD2	1461
84210	ANKRD20A1	4754
441430	ANKRD20A2	4837
441425	ANKRD20A3	4212
728747	ANKRD20A4	4392
118932	ANKRD22	4123
170961	ANKRD24	4322
22852	ANKRD26	11811
124149	ANKRD26P1	6415
84079	ANKRD27	8469
23243	ANKRD28	18734
147463	ANKRD29	7249
91074	ANKRD30A	5776
374860	ANKRD30B	5718
554226	ANKRD30BL	3461
642460	ANKRD30BP1	435
149992	ANKRD30BP2	8412
256006	ANKRD31	6039
84250	ANKRD32	8595
341405	ANKRD33	3761
651746	ANKRD33B	10575
284615	ANKRD34A	3798
340120	ANKRD34B	4042
390616	ANKRD34C	5422
375248	ANKRD36	16823
57730	ANKRD36B	10508
84832	ANKRD36BP1	1866
353322	ANKRD37	4725
91369	ANKRD40	5188
91526	ANKRD44	18453
339416	ANKRD45	4113
54851	ANKRD49	3899
57182	ANKRD50	9021
283373	ANKRD52	9571
79998	ANKRD53	5537
129138	ANKRD54	5281
79722	ANKRD55	3525
100131984	ANKRD57P1	486
22881	ANKRD6	9952
342850	ANKRD62	7299
122416	ANKRD9	5348
23294	ANKS1A	12507
56899	ANKS1B	13759
257629	ANKS4B	2918
203286	ANKS6	13084
55139	ANKZF1	6783
54443	ANLN	8776
55107	ANO1	5852
55129	ANO10	5833
57101	ANO2	6009
63982	ANO3	7293
121601	ANO4	5232
203859	ANO5	7093
196527	ANO6	9929
50636	ANO7	5811
57719	ANO8	6111
338440	ANO9	6821
8125	ANP32A	6158
10541	ANP32B	4083
646791	ANP32BP1	1358
23520	ANP32C	875
23519	ANP32D	396
81611	ANP32E	3604
290	ANPEP	7293
84168	ANTXR1	12244
118429	ANTXR2	10025
195977	ANTXRL	3671
301	ANXA1	10944
11199	ANXA10	2218
311	ANXA11	12296
312	ANXA13	3835
302	ANXA2	12297
303	ANXA2P1	1348
304	ANXA2P2	1319
305	ANXA2P3	1374
306	ANXA3	6663
307	ANXA4	11900
308	ANXA5	5561
309	ANXA6	7488
310	ANXA7	3543
244	ANXA8L2	8307
8416	ANXA9	2465
313	AOAH	4228
314	AOC2	2851
8639	AOC3	5035
316	AOX1	6136
344454	AOX2P	6609
55435	AP1AR	3598
162	AP1B1	7344
164	AP1G1	10102
8907	AP1M1	5145
10053	AP1M2	2184
1174	AP1S1	4189
8905	AP1S2	9743
160	AP2A1	8226
161	AP2A2	10754
1173	AP2M1	6013
1175	AP2S1	1865
8546	AP3B1	7375
8120	AP3B2	9880
26985	AP3M1	6459
10947	AP3M2	8548
1176	AP3S1	8802
10717	AP4B1	9697
23431	AP4E1	6869
9179	AP4M1	5314
11154	AP4S1	5857
317	APAF1	8183
320	APBA1	6824
321	APBA2	7889
9546	APBA3	6520
322	APBB1	10296
54518	APBB1IP	4910
323	APBB2	13921
10297	APC2	13810
147495	APCDD1	7812
164284	APCDD1L	4616
325	APCS	1501
327	APEH	6011
328	APEX1	2804
27301	APEX2	5602
51107	APH1A	5628
83464	APH1B	6827
8539	API5	12169
51074	APIP	10755
8862	APLN	3581
187	APLNR	3874
333	APLP1	6142
335	APOA1	1427
128240	APOA1BP	2617
336	APOA2	949
337	APOA4	1470
116519	APOA5	2936
338	APOB	14963
339	APOBEC1	892
10930	APOBEC2	2064
200316	APOBEC3F	6669
60489	APOBEC3G	5877
164668	APOBEC3H	1267
403314	APOBEC4	2788
341	APOC1	1133
342	APOC1P1	1460
344	APOC2	1361
345	APOC3	641
346	APOC4	876
347	APOD	2196
348	APOE	2220
319	APOF	1932
350	APOH	1419
8542	APOL1	3519
23780	APOL2	7561
80833	APOL3	7764
80832	APOL4	4593
80831	APOL5	1438
80830	APOL6	10246
55937	APOM	5334
79135	APOO	2155
139322	APOOL	6468
351	APP	6916
10513	APPBP2	10123
26060	APPL1	10172
55198	APPL2	8792
353	APRT	2606
54840	APTX	8084
89872	AQP10	2293
282679	AQP11	2406
375318	AQP12A	2994
653437	AQP12B	3427
359	AQP2	4179
360	AQP3	3090
361	AQP4	5730
362	AQP5	3062
363	AQP6	5233
364	AQP7	6696
375719	AQP7P1	8457
389756	AQP7P2	5608
441432	AQP7P3	6650
100132938	AQP7P4	4115
343	AQP8	1420
366	AQP9	3231
206338	AQPEP	8965
9716	AQR	10673
367	AR	6406
369	ARAF	8087
285893	ARAF3P	1045
116984	ARAP2	12603
64411	ARAP3	7859
23237	ARC	3198
372	ARCN1	4829
374	AREG	3765
375	ARF1	11412
377	ARF3	4858
378	ARF4	3100
381	ARF5	2005
382	ARF6	4484
55738	ARFGAP1	7522
10565	ARFGEF1	18190
10564	ARFGEF2	11645
23647	ARFIP2	6109
10139	ARFRP1	8301
383	ARG1	5938
384	ARG2	2690
503582	ARGFX	5065
503640	ARGFXP2	1215
55082	ARGLU1	13366
392	ARHGAP1	8219
79658	ARHGAP10	13282
9824	ARHGAP11A	6662
89839	ARHGAP11B	8281
94134	ARHGAP12	10270
55843	ARHGAP15	6241
55114	ARHGAP17	17280
57569	ARHGAP20	7749
57584	ARHGAP21	13131
58504	ARHGAP22	10741
57636	ARHGAP23	9663
83478	ARHGAP24	8927
9938	ARHGAP25	5296
23092	ARHGAP26	19685
201176	ARHGAP27	8748
79822	ARHGAP28	10279
9411	ARHGAP29	20244
257106	ARHGAP30	5159
57514	ARHGAP31	9647
9743	ARHGAP32	13757
115703	ARHGAP33	5254
158763	ARHGAP36	4120
80728	ARHGAP39	10607
343578	ARHGAP40	4342
394	ARHGAP5	11561
395	ARHGAP6	8397
64333	ARHGAP9	6318
396	ARHGDIA	3595
397	ARHGDIB	6757
9138	ARHGEF1	10368
9639	ARHGEF10	12087
55160	ARHGEF10L	17068
9826	ARHGEF11	12024
23365	ARHGEF12	18353
22899	ARHGEF15	6765
27237	ARHGEF16	6071
9828	ARHGEF17	11028
23370	ARHGEF18	10235
128272	ARHGEF19	4807
9181	ARHGEF2	13105
50650	ARHGEF3	11378
445328	ARHGEF35	2617
389337	ARHGEF37	7812
54848	ARHGEF38	1436
50649	ARHGEF4	6242
7984	ARHGEF5	8261
9459	ARHGEF6	8906
8874	ARHGEF7	22261
23229	ARHGEF9	8309
8289	ARID1A	9699
57492	ARID1B	19466
196528	ARID2	12812
1820	ARID3A	5830
10620	ARID3B	6281
138715	ARID3C	1239
5926	ARID4A	7456
10865	ARID5A	4953
84159	ARID5B	10183
25820	ARIH1	12096
10425	ARIH2	13811
390844	ARIH2P1	541
400	ARL1	5137
115761	ARL11	3826
392509	ARL13A	1544
200894	ARL13B	5706
80117	ARL14	1294
54622	ARL15	3654
339231	ARL16	2768
23568	ARL2BP	4521
403	ARL3	6310
10124	ARL4A	5223
10123	ARL4C	4050
379	ARL4D	1617
152709	ARL4P2	704
26225	ARL5A	10877
221079	ARL5B	4257
390790	ARL5C	3171
84100	ARL6	4969
10550	ARL6IP5	3136
151188	ARL6IP6	4770
127829	ARL8A	3397
55207	ARL8B	4241
132946	ARL9	1775
55156	ARMC1	3376
83787	ARMC10	9703
84071	ARMC2	13129
219681	ARMC3	6352
55130	ARMC4	6065
79798	ARMC5	5867
93436	ARMC6	3651
79637	ARMC7	3286
25852	ARMC8	14134
80210	ARMC9	12400
51309	ARMCX1	15472
9823	ARMCX2	4368
51566	ARMCX3	4743
100131755	ARMCX4	1682
54470	ARMCX6	2884
387715	ARMS2	818
405	ARNT	8164
9915	ARNT2	7728
406	ARNTL	8694
56938	ARNTL2	7771
10109	ARPC2	12945
10092	ARPC5	8991
81873	ARPC5L	5686
10776	ARPP19	9049
10777	ARPP21	17248
407	ARR3	1720
408	ARRB1	5586
409	ARRB2	5473
92714	ARRDC1	7444
27106	ARRDC2	5468
57561	ARRDC3	6958
91947	ARRDC4	4347
645432	ARRDC5	1854
410	ARSA	4028
411	ARSB	8362
414	ARSD	7729
10034	ARSDP1	317
415	ARSE	3906
10033	ARSEP1	1114
416	ARSF	2602
347527	ARSH	2415
340075	ARSI	3862
79642	ARSJ	5548
153642	ARSK	4641
417	ART1	2341
419	ART3	5622
420	ART4	3612
116969	ART5	1692
9048	ARTN	2932
64801	ARV1	5547
421	ARVCF	11535
442092	ARVP6125	1513
170302	ARX	3470
427	ASAH1	9160
56624	ASAH2	3547
653308	ASAH2B	4015
50807	ASAP1	10953
8853	ASAP2	11940
55616	ASAP3	5589
51665	ASB1	7747
136371	ASB10	2393
140456	ASB11	4273
79754	ASB13	3342
142686	ASB14	3209
142685	ASB15	3601
92591	ASB16	2551
127247	ASB17	1125
401036	ASB18	5174
51676	ASB2	5876
51666	ASB4	2306
140458	ASB5	3890
140459	ASB6	6715
140460	ASB7	5127
140461	ASB8	5259
140462	ASB9	3084
51008	ASCC1	6427
84164	ASCC2	6463
10973	ASCC3	12968
429	ASCL1	2519
430	ASCL2	1937
56676	ASCL3	650
121549	ASCL4	2260
25842	ASF1A	2738
55723	ASF1B	2785
432	ASGR1	3033
433	ASGR2	2251
55870	ASH1L	15242
9070	ASH2L	7331
266703	ASH2LP1	1169
434	ASIP	827
8623	ASMTL	5263
439	ASNA1	2174
54529	ASNSD1	3476
389652	ASNSP1	1509
443	ASPA	3220
554235	ASPDH	1637
374569	ASPG	3536
444	ASPH	19955
253982	ASPHD1	3573
57168	ASPHD2	3359
259266	ASPM	11102
54829	ASPN	3035
151516	ASPRV1	21189
79058	ASPSCR1	12317
80150	ASRGL1	7018
445	ASS1	4105
442167	ASS1P1	1115
455	ASS1P10	838
340274	ASS1P11	1441
392302	ASS1P12	781
341230	ASS1P13	319
459	ASS1P14	552
158452	ASS1P3	559
28990	ASTE1	6657
431705	ASTL	1660
460	ASTN1	9760
23245	ASTN2	10003
171023	ASXL1	10740
55252	ASXL2	10480
80816	ASXL3	8940
136991	ASZ1	3011
84896	ATAD1	10545
29028	ATAD2	9754
54454	ATAD2B	16822
55210	ATAD3A	4777
83858	ATAD3B	10765
219293	ATAD3C	3976
79915	ATAD5	7825
85300	ATCAY	5560
11101	ATE1	5591
466	ATF1	3573
467	ATF3	7173
468	ATF4	2127
469	ATF4P1	195
340600	ATF4P2	195
22809	ATF5	4907
22926	ATF6	13250
55729	ATF7IP	12060
80063	ATF7IP2	6202
83734	ATG10	7890
9140	ATG12	10536
9776	ATG13	8299
22863	ATG14	6554
89849	ATG16L2	9649
23130	ATG2A	7891
55102	ATG2B	13118
115201	ATG4A	5833
23192	ATG4B	9801
84938	ATG4C	4975
84971	ATG4D	3290
9474	ATG5	4050
10533	ATG7	14710
285973	ATG9B	7332
80162	ATHL1	6829
471	ATIC	4928
51062	ATL1	6648
64225	ATL2	9105
25923	ATL3	7890
472	ATM	21953
23300	ATMIN	6852
1822	ATN1	5298
474	ATOH1	1181
220202	ATOH7	1507
84913	ATOH8	9495
475	ATOX1	8667
57194	ATP10A	9006
23120	ATP10B	11354
57205	ATP10D	8362
23250	ATP11A	15785
23200	ATP11B	12624
286410	ATP11C	8554
479	ATP12A	4251
57130	ATP13A1	8976
23400	ATP13A2	5565
79572	ATP13A3	12437
84239	ATP13A4	6573
344905	ATP13A5	6339
476	ATP1A1	13365
84852	ATP1A1OS	6087
477	ATP1A2	7806
478	ATP1A3	4387
480	ATP1A4	6284
481	ATP1B1	7014
482	ATP1B2	3943
483	ATP1B3	9310
484	ATP1B3P1	655
23439	ATP1B4	5059
487	ATP2A1	6110
488	ATP2A2	11330
489	ATP2A3	9503
490	ATP2B1	8953
491	ATP2B2	10468
492	ATP2B3	11034
493	ATP2B4	14835
27032	ATP2C1	17461
9914	ATP2C2	9426
495	ATP4A	4465
496	ATP4B	1497
498	ATP5A1	9210
642545	ATP5A1P1	219
100132619	ATP5A1P10	902
504	ATP5A1P2	493
645443	ATP5A1P3	1829
442416	ATP5A1P5	452
643860	ATP5A1P6	219
442415	ATP5A1P7	904
392322	ATP5A1P8	459
100289279	ATP5A1P9	993
509	ATP5C1	7263
645560	ATP5C1P1	1076
513	ATP5D	2952
432369	ATP5EP2	386
515	ATP5F1	6072
516	ATP5G1	3366
319137	ATP5G1P2	529
520	ATP5G2P1	613
518	ATP5G3	7172
10476	ATP5H	3733
521	ATP5I	1719
522	ATP5J	3050
654484	ATP5J2P5	397
267020	ATP5L2	799
53411	ATP5LP1	772
53410	ATP5LP2	444
27109	ATP5S	5913
55101	ATP5SL	8690
537	ATP6AP1	6500
92270	ATP6AP1L	9476
10159	ATP6AP2	4131
535	ATP6V0A1	14147
23545	ATP6V0A2	9743
50617	ATP6V0A4	4032
533	ATP6V0B	3782
9114	ATP6V0D1	9034
245972	ATP6V0D2	3395
155066	ATP6V0E2	4266
523	ATP6V1A	6863
525	ATP6V1B1	5184
526	ATP6V1B2	9052
528	ATP6V1C1	6779
245973	ATP6V1C2	5779
51382	ATP6V1D	8888
529	ATP6V1E1	2987
343515	ATP6V1E1P1	1146
90423	ATP6V1E2	5629
9550	ATP6V1G1	2067
127124	ATP6V1G3	843
51606	ATP6V1H	4575
538	ATP7A	13821
540	ATP7B	12687
10396	ATP8A1	13146
51761	ATP8A2	11276
5205	ATP8B1	11462
57198	ATP8B2	8592
148229	ATP8B3	7030
79895	ATP8B4	11358
158381	ATP8B5P	6342
10079	ATP9A	10260
374868	ATP9B	18898
91647	ATPAF2	7020
89978	ATPBD4	8148
